subtheme,set_count,avg_retail_usd,avg_current_usd,total_gain_loss_usd,avg_roi_pct,avg_price_per_piece,total_pieces
Gaming,1,79.99,130.0,50.01,0.6252,0.0655,1222
Technic,1,80.0,115.0,35.0,0.4375,0.0546,1466
Sculptures,1,59.99,85.0,25.01,0.4169,0.0878,683
Helmet Collection,9,64.43,89.56,226.09,0.4039,0.0968,6084
Super Heroes,1,69.99,95.0,25.01,0.3573,0.1186,590
Buildable Figures,5,145.99,188.0,210.05,0.3143,0.0871,8615
Diorama Collection,6,81.66,95.0,80.06,0.167,0.1087,4600
Super Mario,1,59.99,65.0,5.01,0.0835,0.1111,540
25th Anniversary,3,94.99,100.0,15.03,0.0563,0.1316,2158
Minecraft,1,89.99,90.0,0.01,0.0001,0.0753,1195
Nintendo,1,119.99,119.99,0.0,0.0,0.0833,1441
