subtheme,set_count,avg_ppp,min_ppp,max_ppp,avg_pieces
25th Anniversary,3,0.1316,0.1115,0.1529,719.0
Super Heroes,1,0.1186,0.1186,0.1186,590.0
Super Mario,1,0.1111,0.1111,0.1111,540.0
Diorama Collection,6,0.1087,0.08,0.1316,767.0
Helmet Collection,9,0.0968,0.082,0.1198,676.0
Sculptures,1,0.0878,0.0878,0.0878,683.0
Buildable Figures,5,0.0871,0.0565,0.1318,1723.0
Nintendo,1,0.0833,0.0833,0.0833,1441.0
Minecraft,1,0.0753,0.0753,0.0753,1195.0
Gaming,1,0.0655,0.0655,0.0655,1222.0
Technic,1,0.0546,0.0546,0.0546,1466.0
